"animal_id","Sex","Time","Steplength(m)","Turningangle(rad)"
1,"M","05:00:00",55.9016994374947,0.560029150278471
1,"M","06:00:00",25.8069758011279,-2.98499077660778
1,"M","07:00:00",26.1725046566048,-3.00346442536243
1,"M","08:00:00",32.7566787083184,-2.87482909553207
1,"M","09:00:00",39.4588393138977,-2.74858692745807
1,"M","10:00:00",8.06225774829855,-0.366496785851258
1,"M","11:00:00",16.2788205960997,2.9187914998304
1,"M","12:00:00",12.6491106406735,-2.72139593998052
1,"M","13:00:00",39.0512483795333,0.372987721800061
1,"M","14:00:00",130.80137613955,-2.2609474792022
1,"M","15:00:00",22.3606797749979,0.818767484796365
1,"M","16:00:00",4.12310562561766,-3.07646749025541
1,"M","17:00:00",650.003846142467,1.6256739069419
1,"M","18:00:00",632.310050529011,1.18543478984283
1,"M","19:00:00",368.600054259356,-0.557453221570932
